GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL,SOURCEURL
257012777,20130621,201306,2013,2013.4685,GOVHLH,HEALTH MINIST ,,,,,,GOV,HLH,, HLH,HOSPITAL,,,,,,HLH,,,0,112,112,11,3,-2,2,1,2,2.076677316,1,Indonesia,ID,ID,-5,120,ID,1,Indonesia,ID,ID,-5,120,ID,1,Indonesia,ID,ID,-5,120,ID,20130621,http://www.straitstimes.com/breaking-news/singapore/story/haze-update-government-moves-address-concerns-over-haze-20130622,2013
257105354,20130622,201306,2013,2013.4712,GOVHLH,HEALTH MINIST ,,,,,,GOV,HLH,, HLH,HOSPITAL,,,,,,HLH,,,0,112,112,11,3,-2,2,1,2,2.076677316,1,Indonesia,ID,ID,-5,120,ID,1,Indonesia,ID,ID,-5,120,ID,1,Indonesia,ID,ID,-5,120,ID,20130622,http://www.straitstimes.com/the-big-story/the-haze-singapore/story/haze-update-government-moves-address-concerns-over-haze-20130,2013
258119723,20130702,201307,2013,2013.4986,HLH,PHYSICIAN,,,,,,HLH,,, IDNHLH,JAKARTA,IDN,,,,,HLH,,,1,60,60,6,2,6,10,1,10,4.171364149,4,"Jakarta, Jakarta Raya, Indonesia",ID,ID04,-6.17444,106.829,-2679652,4,"Jakarta, Jakarta Raya, Indonesia",ID,ID04,-6.17444,106.829,-2679652,4,"Jakarta, Jakarta Raya, Indonesia",ID,ID04,-6.17444,106.829,-2679652,20130702,http://www.thejakartapost.com/news/2013/07/03/robotic-surgery-offers-indonesia-non-invasive-alternatives.html,2013
258666259,20130707,201307,2013,2013.5123,IDNHLH,SURABAYA,IDN,,,,,HLH,,, HLH,DOCTOR,,,,,,HLH,,,1,51,51,5,1,3.4,5,1,5,3.636363636,4,"Surabaya, Jawa Timur, Indonesia",ID,ID08,-7.24917,112.751,-2698521,4,"Surabaya, Jawa Timur, Indonesia",ID,ID08,-7.24917,112.751,-2698521,4,"Surabaya, Jawa Timur, Indonesia",ID,ID08,-7.24917,112.751,-2698521,20130707,http://www.thejakartapost.com/news/2013/07/07/conjoined-twins-palembang-undergo-successful-separation-surgery.html,2013
260298883,20130721,201307,2013,2013.5507,HLH,DOCTOR,,,,,,HLH,,, COPHLH,POLICE,,,,,,COP,HLH,,1,90,90,9,2,-2,2,1,2,0,4,"Kramat Jati, Jawa Timur, Indonesia",ID,ID08,-7.8096,113.372,10287083,4,"Kramat Jati, Jawa Timur, Indonesia",ID,ID08,-7.8096,113.372,10287083,4,"Kramat Jati, Jawa Timur, Indonesia",ID,ID08,-7.8096,113.372,10287083,20130721,http://www.thejakartapost.com/news/2013/07/22/dead-man-found-cuffed.html,2013
260298945,20130721,201307,2013,2013.5507,HLH,DOCTOR,,,,,,HLH,,, HLHCOP,HOSPITAL,,,,,,HLH,COP,,1,90,90,9,2,-2,6,1,6,0,4,"Kramat Jati, Jawa Timur, Indonesia",ID,ID08,-7.8096,113.372,10287083,4,"Kramat Jati, Jawa Timur, Indonesia",ID,ID08,-7.8096,113.372,10287083,4,"Kramat Jati, Jawa Timur, Indonesia",ID,ID08,-7.8096,113.372,10287083,20130721,http://www.thejakartapost.com/news/2013/07/22/dead-man-found-cuffed.html,2013
263755420,20130819,201308,2013,2013.6274,HLH,DOCTOR,,,,,,HLH,,, COPHLH,POLICE,,,,,,COP,HLH,,1,190,190,19,4,-10,2,1,2,0,4,"Kramat Jati, Jawa Timur, Indonesia",ID,ID08,-7.8096,113.372,10287083,4,"Kramat Jati, Jawa Timur, Indonesia",ID,ID08,-7.8096,113.372,10287083,4,"Kramat Jati, Jawa Timur, Indonesia",ID,ID08,-7.8096,113.372,10287083,20130819,http://www.thejakartapost.com/news/2013/08/20/police-attacker-surrenders.html,2013
264530241,20130825,201308,2013,2013.6438,GOVHLH,HEALTH MINIST ,,,,,,GOV,HLH,, HLH,HOSPITAL,,,,,,HLH,,,1,20,20,2,1,3,10,1,10,4.820627803,4,"Jakarta, Jakarta Raya, Indonesia",ID,ID04,-6.17444,106.829,-2679652,4,"Jakarta, Jakarta Raya, Indonesia",ID,ID04,-6.17444,106.829,-2679652,4,"Jakarta, Jakarta Raya, Indonesia",ID,ID04,-6.17444,106.829,-2679652,20130825,http://www.thejakartaglobe.com/featured-2/a-cleaner-street-food-utopia/,2013
265435417,20130831,201308,2013,2013.6603,HLH,HOSPITAL,,,,,,HLH,,, IDNHLH,INDONESIA,IDN,,,,,HLH,,,1,42,42,4,1,1.9,2,1,2,0.673400673,4,"Kebon Jati, Jawa Timur, Indonesia",ID,ID08,-8.13108,112.647,10863874,4,"Kebon Jati, Jawa Timur, Indonesia",ID,ID08,-8.13108,112.647,10863874,4,"Kebon Jati, Jawa Timur, Indonesia",ID,ID08,-8.13108,112.647,10863874,20130831,http://www.thejakartapost.com/news/2013/09/01/police-officer-shoots-one-brawl.html,2013
265436087,20130831,201308,2013,2013.6603,IDNHLH,INDONESIA,IDN,,,,,HLH,,, HLH,HOSPITAL,,,,,,HLH,,,1,43,43,4,1,2.8,2,1,2,0.673400673,4,"Kebon Jati, Jawa Timur, Indonesia",ID,ID08,-8.13108,112.647,10863874,4,"Kebon Jati, Jawa Timur, Indonesia",ID,ID08,-8.13108,112.647,10863874,4,"Kebon Jati, Jawa Timur, Indonesia",ID,ID08,-8.13108,112.647,10863874,20130831,http://www.thejakartapost.com/news/2013/09/01/police-officer-shoots-one-brawl.html,2013
